Day_of_Month,Month,year,Airline,Origin,Destination,Departure_Delay,Arrival_Delay,Cancelled,Rain_at_Origin,Rain_at_Dest,Incentive_Pay,Time_in_Air
8,2,2012,United,BOS,ORD,1,-3,0,0,0,0,135
30,6,2012,United,EWR,LAX,5,17,0,1,0,0,323
24,10,2012,United,LAS,SFO,-2,-18,0,1,0,1,66
7,2,2012,United,LAX,SFO,26,22,0,0,0,0,49
26,5,2012,United,EWR,LAX,0,1,0,0,0,0,327
30,5,2012,United,SFO,LAX,0,-3,0,0,0,0,58
30,11,2012,United,LAS,LAX,21,14,0,0,0,1,41
28,11,2012,United,LAX,DEN,12,11,0,0,0,1,102
28,6,2012,United,LAX,LAS,0,-6,0,0,0,0,45
22,2,2012,United,ORD,SFO,2,33,0,0,1,0,257
14,12,2012,United,EWR,DEN,-2,10,0,1,0,1,238
22,8,2012,United,ORD,MCO,10,25,0,0,0,0,135
22,11,2012,United,ORD,ATL,0,-5,0,0,0,1,84
21,1,2012,United,LAX,JFK,0,-12,0,0,0,0,256
23,8,2012,United,LAX,SFO,2,-3,0,0,0,0,50
6,1,2012,United,SFO,MCO,0,-2,0,0,0,0,274
25,2,2012,United,BOS,SFO,8,-6,0,1,1,0,362
17,2,2012,United,BOS,JFK,0,-3,0,0,0,0,48
4,4,2012,United,SFO,LAS,0,4,0,0,0,0,64
27,4,2012,United,LAX,DFW,0,-15,0,0,1,0,152
17,10,2012,United,ORD,BOS,23,11,0,1,1,1,106
21,7,2012,United,SFO,LAS,0,-11,0,1,0,0,61
2,5,2012,United,SFO,DEN,2,-8,0,1,0,0,118
24,8,2012,United,ORD,BOS,4,19,0,0,1,0,107
17,2,2012,United,LAX,DEN,3,1,0,1,0,0,99
5,10,2012,United,SFO,ORD,2,-23,0,0,1,1,197
7,2,2012,United,SFO,ORD,60,64,0,0,0,0,211
18,12,2012,United,LAX,ORD,143,183,0,0,0,1,246
16,6,2012,United,ORD,MIA,11,33,0,0,0,0,167
21,2,2012,United,LAX,DEN,8,73,0,1,0,0,123
1,6,2012,United,SFO,EWR,0,-5,0,0,0,0,302
14,4,2012,United,LAX,DEN,0,9,0,1,1,0,98
28,11,2012,United,JFK,SFO,21,6,0,0,0,1,345
2,11,2012,United,ORD,MIA,-1,0,0,0,0,1,146
5,12,2012,United,EWR,SFO,-2,-21,0,0,0,1,331
11,12,2012,United,ORD,BOS,,,1,0,0,1,
8,9,2012,United,EWR,ORD,1,-9,0,0,0,0,111
29,9,2012,United,LAS,SFO,0,0,0,0,0,0,65
12,5,2012,United,LAX,SFO,10,6,0,0,0,0,56
11,5,2012,United,ORD,MIA,0,-3,0,0,0,0,144
15,8,2012,United,SFO,DEN,1,8,0,0,0,0,121
10,3,2012,United,SFO,LAX,0,-25,0,0,0,0,53
31,8,2012,United,LAX,DEN,2,-3,0,0,0,0,100
12,6,2012,United,ORD,SFO,81,93,0,1,0,0,243
25,7,2012,United,EWR,ORD,97,87,0,0,0,0,99
30,11,2012,United,LAS,DEN,19,8,0,0,0,1,80
7,8,2012,United,SFO,BOS,77,53,0,1,1,0,286
29,9,2012,United,LAX,SFO,0,1,0,0,0,0,56
22,6,2012,United,ORD,SFO,25,23,0,0,0,0,228
17,5,2012,United,EWR,LAX,0,17,0,0,0,0,338
28,7,2012,United,LAX,SFO,4,-2,0,0,0,0,51
16,11,2012,United,LAX,DEN,4,11,0,0,0,1,104
5,1,2012,United,LAS,DEN,17,20,0,0,0,0,82
7,8,2012,United,EWR,ORD,53,43,0,1,1,0,110
15,8,2012,United,JFK,LAX,3,-4,0,0,0,0,295
21,6,2012,United,SFO,JFK,0,70,0,0,1,0,333
3,10,2012,United,SFO,LAX,6,3,0,0,0,1,54
24,10,2012,United,LAS,DEN,61,53,0,1,0,1,83
18,4,2012,United,LAX,DEN,,,1,1,0,0,
26,1,2012,United,SFO,DEN,2,-5,0,1,0,0,109
6,1,2012,United,JFK,SFO,0,0,0,0,0,0,352
27,9,2012,United,ORD,EWR,,,1,0,0,0,
15,5,2012,United,SFO,ORD,0,-4,0,1,0,0,195
10,2,2012,United,ORD,DFW,0,-8,0,0,0,0,117
29,11,2012,United,LAX,SFO,,,1,0,1,1,
16,10,2012,United,ORD,DEN,,,1,0,0,1,
22,12,2012,United,SFO,JFK,-2,0,0,0,0,1,283
4,7,2012,United,ORD,SFO,0,39,0,0,0,0,284
8,11,2012,United,JFK,LAX,-2,-19,0,0,0,1,314
31,8,2012,United,LAX,ORD,0,-16,0,0,0,0,205
24,8,2012,United,ORD,DEN,2,0,0,0,0,0,112
27,7,2012,United,ORD,SFO,49,39,0,0,0,0,229
18,9,2012,United,LAS,LAX,103,92,0,0,0,0,36
30,11,2012,United,LAX,ORD,-2,-29,0,0,1,1,193
20,12,2012,United,LAX,LAS,-2,-8,0,0,0,1,40
17,5,2012,United,SFO,LAX,0,-11,0,0,0,0,50
15,2,2012,United,LAS,ORD,47,28,0,0,0,0,160
8,2,2012,United,LAX,SFO,63,82,0,0,0,0,78
20,12,2012,United,LAX,ORD,59,58,0,0,0,1,202
26,4,2012,United,BOS,DEN,0,16,0,1,0,0,239
22,2,2012,United,LAX,SFO,0,8,0,1,1,0,63
23,3,2012,United,SFO,DEN,0,4,0,0,0,0,119
11,12,2012,United,LAX,SFO,,,1,0,0,1,
19,9,2012,United,SFO,BOS,0,-9,0,0,0,0,316
26,9,2012,United,JFK,SFO,1,32,0,1,0,0,378
25,1,2012,United,LAX,SFO,,,1,1,1,0,
25,2,2012,United,LAS,LAX,0,-1,0,0,1,0,43
5,1,2012,United,LAX,ORD,0,-5,0,0,0,0,197
12,6,2012,United,ORD,MCO,0,19,0,1,1,0,140
31,8,2012,United,SFO,LAX,14,21,0,0,0,0,63
16,3,2012,United,LAX,JFK,0,12,0,0,1,0,290
12,1,2012,United,LAX,ORD,12,3,0,0,0,0,195
29,11,2012,United,EWR,ORD,23,20,0,0,1,1,108
8,6,2012,United,ORD,LAX,0,-3,0,0,0,0,221
20,9,2012,United,LAX,JFK,0,-8,0,0,0,0,282
18,12,2012,United,JFK,SFO,-2,-14,0,0,0,1,336
16,10,2012,United,LAX,DEN,12,3,0,0,0,1,111
26,4,2012,United,LAX,BOS,28,53,0,0,1,0,313
11,5,2012,United,ORD,DEN,65,63,0,0,0,0,118
21,12,2012,United,LAX,ORD,1,-1,0,0,0,1,194
17,10,2012,United,ORD,EWR,26,34,0,1,1,1,88
1,2,2012,United,LAX,SFO,3,-7,0,0,1,0,51
26,5,2012,United,SFO,DEN,0,6,0,1,1,0,121
20,10,2012,United,ORD,DEN,-2,-7,0,0,0,1,119
3,5,2012,United,LAX,ORD,29,30,0,0,0,0,195
26,9,2012,United,ORD,LAS,9,-12,0,0,0,0,191
26,4,2012,United,LAX,EWR,11,22,0,0,0,0,293
16,2,2012,United,ORD,MCO,1,0,0,0,0,0,129
10,11,2012,United,SFO,BOS,-2,18,0,1,1,1,321
14,11,2012,United,SFO,LAX,3,-16,0,1,0,1,49
24,8,2012,United,ORD,BOS,,,1,0,1,0,
4,8,2012,United,ORD,BOS,,,1,0,1,0,
19,4,2012,United,BOS,DEN,0,23,0,1,0,0,261
15,11,2012,United,ORD,LAS,-2,8,0,0,0,1,218
15,8,2012,United,SFO,LAS,67,73,0,0,0,0,70
16,10,2012,United,LAX,SFO,9,-1,0,0,0,1,49
6,10,2012,United,LAX,ORD,-2,-10,0,1,1,1,201
29,3,2012,United,SFO,LAX,0,3,0,0,0,0,58
4,9,2012,United,EWR,ORD,16,10,0,0,0,0,109
4,5,2012,United,SFO,LAX,16,10,0,1,0,0,60
7,6,2012,United,EWR,DEN,1,20,0,1,0,0,217
27,12,2012,United,LAX,SFO,-2,-11,0,0,0,1,51
2,5,2012,United,LAX,ORD,0,18,0,0,0,0,202
21,2,2012,United,ORD,DEN,74,65,0,0,0,0,125
10,10,2012,United,LAX,DEN,-2,-20,0,0,0,1,99
21,9,2012,United,SFO,LAX,0,2,0,1,0,0,59
20,9,2012,United,LAX,MCO,0,13,0,0,1,0,272
22,11,2012,United,LAX,JFK,-2,-30,0,0,0,1,272
28,7,2012,United,LAX,DEN,9,23,0,0,0,0,117
20,11,2012,United,LAX,ORD,64,54,0,0,0,1,201
23,3,2012,United,LAX,LAS,7,-1,0,0,0,0,44
16,2,2012,United,LAX,SFO,44,42,0,1,1,0,53
18,12,2012,United,EWR,ORD,-2,-5,0,1,0,1,123
3,7,2012,United,LAS,SFO,18,13,0,0,0,0,69
3,7,2012,United,SFO,LAX,1,-6,0,0,0,0,53
7,1,2012,United,BOS,SFO,0,-21,0,0,0,0,357
8,2,2012,United,SFO,MCO,0,9,0,0,1,0,268
13,11,2012,United,LAX,SFO,,,1,0,1,1,
13,9,2012,United,ORD,BOS,25,13,0,1,1,0,106
5,1,2012,United,ORD,DEN,43,54,0,0,0,0,127
13,10,2012,United,EWR,ORD,-2,-18,0,0,1,1,102
4,10,2012,United,ORD,DEN,16,25,0,1,0,1,131
12,7,2012,United,ORD,EWR,17,-7,0,0,0,0,93
3,5,2012,United,JFK,LAX,0,-30,0,0,0,0,289
28,12,2012,United,SFO,LAX,-2,0,0,0,0,1,55
24,4,2012,United,SFO,EWR,11,19,0,0,0,0,294
6,3,2012,United,ORD,LAX,20,12,0,0,1,0,233
14,6,2012,United,SFO,LAX,1,8,0,0,0,0,56
9,10,2012,United,SFO,DEN,76,74,0,1,0,1,118
25,8,2012,United,EWR,ORD,,,1,0,0,0,
28,3,2012,United,SFO,ORD,0,8,0,0,1,0,207
18,7,2012,United,EWR,DEN,0,22,0,0,1,0,218
21,6,2012,United,EWR,ORD,,,1,0,1,0,
26,4,2012,United,LAS,LAX,1,-16,0,0,0,0,41
7,2,2012,United,LAX,ORD,,,1,0,0,0,
9,2,2012,United,ORD,EWR,0,-7,0,0,0,0,104
2,6,2012,United,ORD,MCO,21,33,0,0,0,0,126
